Year,League,Division,Team,Wins,Losses,Ties,Pct
2019,NL,W,LAD,100,52,10,0.6481481481481481
2019,NL,E,ATL,86,59,17,0.5833333333333334
2019,NL,E,WSN,89,63,10,0.5802469135802469
2019,NL,C,MIL,82,65,15,0.5524691358024691
2019,NL,C,STL,83,67,12,0.5493827160493827
2019,NL,E,NYM,79,67,16,0.5370370370370371
2019,NL,C,CHC,80,69,13,0.5339506172839507
2019,NL,W,ARI,76,68,18,0.5246913580246914
2019,NL,E,PHI,74,75,13,0.49691358024691357
2019,NL,C,CIN,68,79,15,0.4660493827160494
2019,NL,W,SFG,64,82,16,0.4444444444444444
2019,NL,W,SDP,65,85,12,0.4382716049382716
2019,NL,C,PIT,62,82,18,0.4382716049382716
2019,NL,W,COL,61,85,16,0.42592592592592593
2019,NL,E,MIA,50,96,16,0.35802469135802467
2019,AL,W,HOU,97,51,14,0.6419753086419753
2019,AL,C,MIN,96,54,12,0.6296296296296297
2019,AL,E,NYY,96,55,11,0.6265432098765432
2019,AL,W,OAK,91,56,15,0.6080246913580247
2019,AL,E,TBR,85,58,19,0.5833333333333334
2019,AL,C,CLE,87,62,13,0.5771604938271605
2019,AL,E,BOS,75,70,17,0.5154320987654321
2019,AL,W,TEX,71,78,13,0.4783950617283951
2019,AL,W,LAA,69,83,10,0.4567901234567901
2019,AL,C,CHW,68,85,8,0.4444444444444444
2019,AL,E,TOR,60,87,15,0.4166666666666667
2019,AL,W,SEA,59,90,13,0.404320987654321
2019,AL,C,KCR,55,94,13,0.37962962962962965
2019,AL,E,BAL,52,100,10,0.35185185185185186
2019,AL,C,DET,41,104,16,0.30246913580246915
2018,NL,C,MIL,87,60,16,0.5864197530864198
2018,NL,C,CHC,84,60,19,0.5771604938271605
2018,NL,W,LAD,84,64,15,0.5648148148148148
2018,NL,W,COL,86,66,11,0.5648148148148148
2018,NL,E,ATL,84,64,14,0.5617283950617284
2018,NL,C,STL,80,66,16,0.5432098765432098
2018,NL,E,WSN,78,70,14,0.5246913580246914
2018,NL,W,ARI,77,71,14,0.5185185185185185
2018,NL,C,PIT,75,74,12,0.5
2018,NL,E,PHI,72,76,14,0.4876543209876543
2018,NL,E,NYM,68,76,18,0.47530864197530864
2018,NL,W,SFG,62,79,21,0.44753086419753085
2018,NL,C,CIN,60,83,19,0.42901234567901236
2018,NL,W,SDP,61,85,16,0.42592592592592593
2018,NL,E,MIA,54,92,15,0.37962962962962965
2018,AL,E,BOS,100,49,13,0.6574074074074074
2018,AL,W,HOU,98,53,11,0.6388888888888888
2018,AL,E,NYY,91,57,14,0.6049382716049383
2018,AL,W,OAK,84,59,19,0.5771604938271605
2018,AL,C,CLE,87,62,13,0.5771604938271605
2018,AL,E,TBR,85,65,12,0.5617283950617284
2018,AL,W,SEA,75,72,15,0.5092592592592593
2018,AL,W,LAA,75,75,12,0.5
2018,AL,C,MIN,73,76,13,0.49074074074074076
2018,AL,E,TOR,63,83,16,0.4382716049382716
2018,AL,W,TEX,60,88,14,0.41358024691358025
2018,AL,C,DET,59,93,10,0.3950617283950617
2018,AL,C,CHW,57,95,10,0.38271604938271603
2018,AL,C,KCR,53,96,13,0.36728395061728397
2018,AL,E,BAL,43,106,13,0.3055555555555556
2017,NL,W,LAD,96,54,12,0.6296296296296297
2017,NL,E,WSN,90,61,11,0.5895061728395061
2017,NL,W,ARI,84,66,12,0.5555555555555556
2017,NL,C,CHC,85,67,10,0.5555555555555556
2017,NL,C,MIL,81,65,16,0.5493827160493827
2017,NL,W,COL,85,72,5,0.5401234567901234
2017,NL,C,STL,78,70,14,0.5246913580246914
2017,NL,E,MIA,71,80,11,0.4722222222222222
2017,NL,C,PIT,67,78,17,0.4660493827160494
2017,NL,E,ATL,66,82,14,0.4506172839506173
2017,NL,W,SDP,67,84,11,0.44753086419753085
2017,NL,E,NYM,67,84,11,0.44753086419753085
2017,NL,C,CIN,65,87,10,0.43209876543209874
2017,NL,E,PHI,59,86,17,0.4166666666666667
2017,NL,W,SFG,52,91,19,0.37962962962962965
2017,AL,W,HOU,97,57,8,0.6234567901234568
2017,AL,C,CLE,98,58,6,0.6234567901234568
2017,AL,E,NYY,86,65,11,0.5648148148148148
2017,AL,E,BOS,78,66,18,0.5370370370370371
2017,AL,C,MIN,82,74,6,0.5246913580246914
2017,AL,C,KCR,76,75,11,0.5030864197530864
2017,AL,E,TOR,71,72,19,0.49691358024691357
2017,AL,W,LAA,72,75,15,0.49074074074074076
2017,AL,E,TBR,72,76,14,0.4876543209876543
2017,AL,W,TEX,73,79,10,0.48148148148148145
2017,AL,W,OAK,71,78,13,0.4783950617283951
2017,AL,W,SEA,71,79,12,0.47530864197530864
2017,AL,E,BAL,63,83,16,0.4382716049382716
2017,AL,C,CHW,62,90,10,0.41358024691358025
2017,AL,C,DET,63,94,5,0.404320987654321
2016,NL,C,CHC,94,54,13,0.6203703703703703
2016,NL,E,WSN,90,59,13,0.595679012345679
2016,NL,W,LAD,85,63,14,0.5679012345679012
2016,NL,E,NYM,79,70,13,0.5277777777777778
2016,NL,C,STL,82,73,7,0.5277777777777778
2016,NL,W,SFG,76,68,18,0.5246913580246914
2016,NL,E,MIA,75,75,11,0.49691358024691357
2016,NL,W,COL,72,81,9,0.4722222222222222
2016,NL,C,PIT,70,78,13,0.4722222222222222
2016,NL,C,MIL,69,80,13,0.4660493827160494
2016,NL,C,CIN,65,84,13,0.44135802469135804
2016,NL,E,PHI,64,85,13,0.4351851851851852
2016,NL,W,ARI,61,85,16,0.42592592592592593
2016,NL,W,SDP,62,88,12,0.41975308641975306
2016,NL,E,ATL,57,82,22,0.41975308641975306
2016,AL,W,TEX,89,61,12,0.5864197530864198
2016,AL,C,CLE,88,61,12,0.5802469135802469
2016,AL,E,BOS,86,65,11,0.5648148148148148
2016,AL,E,TOR,85,64,13,0.5648148148148148
2016,AL,E,BAL,83,71,8,0.5370370370370371
2016,AL,W,SEA,77,68,17,0.5277777777777778
2016,AL,C,DET,81,71,9,0.5277777777777778
2016,AL,E,NYY,80,75,7,0.5154320987654321
2016,AL,W,HOU,74,70,18,0.5123456790123457
2016,AL,C,KCR,74,78,10,0.4876543209876543
2016,AL,C,CHW,70,77,15,0.4783950617283951
2016,AL,W,LAA,74,84,4,0.4691358024691358
2016,AL,W,OAK,63,88,11,0.4228395061728395
2016,AL,E,TBR,64,91,7,0.4166666666666667
2016,AL,C,MIN,53,93,16,0.3765432098765432
2015,NL,C,STL,92,54,16,0.6172839506172839
2015,NL,C,PIT,86,55,21,0.595679012345679
2015,NL,W,LAD,86,61,15,0.5771604938271605
2015,NL,C,CHC,84,60,18,0.5740740740740741
2015,NL,E,NYM,81,66,15,0.5462962962962963
2015,NL,W,SFG,78,73,11,0.5154320987654321
2015,NL,E,WSN,74,77,11,0.49074074074074076
2015,NL,W,ARI,70,74,18,0.4876543209876543
2015,NL,W,SDP,67,83,12,0.4506172839506173
2015,NL,E,ATL,63,86,13,0.42901234567901236
2015,NL,E,MIA,65,88,9,0.42901234567901236
2015,NL,W,COL,65,89,8,0.42592592592592593
2015,NL,C,MIL,64,89,9,0.4228395061728395
2015,NL,C,CIN,59,86,17,0.4166666666666667
2015,NL,E,PHI,57,90,15,0.39814814814814814
2015,AL,C,KCR,85,61,16,0.5740740740740741
2015,AL,E,TOR,85,63,14,0.5679012345679012
2015,AL,E,NYY,83,66,13,0.5524691358024691
2015,AL,W,TEX,83,70,9,0.5401234567901234
2015,AL,W,LAA,80,70,12,0.5308641975308642
2015,AL,E,TBR,78,69,15,0.5277777777777778
2015,AL,W,HOU,78,70,14,0.5246913580246914
2015,AL,C,MIN,77,71,14,0.5185185185185185
2015,AL,E,BAL,75,76,11,0.49691358024691357
2015,AL,C,CLE,76,76,9,0.49691358024691357
2015,AL,E,BOS,71,77,14,0.48148148148148145
2015,AL,W,SEA,66,73,23,0.4783950617283951
2015,AL,C,DET,65,79,17,0.4537037037037037
2015,AL,C,CHW,63,81,18,0.4444444444444444
2015,AL,W,OAK,61,84,17,0.42901234567901236
